"filename", "language", "JavaScript", "TypeScript React", "JSON with Comments", "TypeScript", "SCSS", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 15, 35
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\babel-plugin-macros.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\next.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 9225, 0, 0, 0, 1, 9226
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\package.json", "JSON", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\AuthHeader.tsx", "TypeScript React", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\UserProfileCard.tsx", "TypeScript React", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 3, 91
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\assets.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\authProvider.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 10, 49
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\eventCard.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\forms\signInForm.tsx", "TypeScript React", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 4, 99
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\forms\signUpForm.tsx", "TypeScript React", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 5, 152
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\forms\userUpdateForm.tsx", "TypeScript React", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 79
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\layout\authComp.tsx", "TypeScript React", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\layout\header.tsx", "TypeScript React", 0, 121, 0, 0, 0, 0, 0, 0, 0, 4, 9, 134
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\components\loader.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\data\Event.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 10, 30
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\data\User.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 8, 25
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\_app.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\_document.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\auth\signin.tsx", "TypeScript React", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\auth\signup.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\clubs\[clubSlug].tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\clubs\index.tsx", "TypeScript React", 0, 100, 0, 0, 0, 0, 0, 0, 0, 5, 5, 110
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\clubs\submit.tsx", "TypeScript React", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 4, 108
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\events\index.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\home\index.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\index.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\profile\index.tsx", "TypeScript React", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\pages\settings\index.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\util\api.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\src\util\dataValidation.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 10, 66
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 8, 80
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\styles\main.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\styles\profile.module.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\styles\signin.module.css", "CSS", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 5, 77
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\styles\signup.module.css", "CSS", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 78
"d:\SLOP\SLOP-user-profile\SLOP-user-profile\tsconfig.json", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"Total", "-", 10, 1129, 32, 71, 2, 283, 9268, 20, 4, 15, 168, 11002